formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
LiMg14Ga,-0.005852376,22.19112126,854.9125,139,0.83,1.320625,0.0625,0.625,16.215,11.44927083
LiCa2Mg,-0.01866514,31.86427363,901.6725,155.25,0.33,1.0725,0,0,14.96666667,21.64208333
Li2MgSn,-0.304543382,18.09545944,583.865,134,0.98,1.3075,0.5,2.5,17.275,16.62416667
LiInSn,-0.179724342,26.00652253,462.84,136.3333333,0.98,1.573333333,1,6.666666667,17.275,13.68166667
SrCdPb,-0.394929002,30.93631365,748.2766667,161.6666667,1.38,1.656666667,0.666666667,6.666666667,18.555,13.28833333
Ca2PbAu2,-0.701022884,25.0633742,1101.054,154,1.54,1.882,0.4,6,19.93333333,14.01233333
SrHgPb,-0.463117988,30.63471188,628.31,157.6666667,1.38,1.76,0.666666667,6.666666667,20.19,12.635
CuNiAu,0.125439483,13.80100612,1474.366667,130.6666667,0.64,2.116666667,0,9.333333333,1,6.25
Cu3SnAu,0.104271397,16.12963607,1183.144,134.2,0.64,2.04,0.4,10,1.26,6.262
CdSnAu,0.009819417,25.48070465,812.21,139.6666667,0.85,2.063333333,0.666666667,10,1.52,6.726666667
NiSn2Au,0.020342278,20.72305805,1018.8725,134.5,0.63,2.0925,1,9.5,1.26,6.68
SrBiAu,-0.40177516,29.38902027,977.2433333,159.6666667,1.59,1.836666667,1,6.666666667,25.15,10.58333333
NaMg14Ni,0.084496592,22.05708368,938.804375,141.5,0.98,1.32375,0,0.5,17.31,11.35270833
Mg6CuBi,0.025366178,22.33226559,930.02125,140.75,0.71,1.4725,0.375,2.5,10.36666667,8.89375
Mg6GaNi,0.008339305,19.08166191,946.11375,136.5,0.6,1.4475,0.125,2.25,3.966666667,9.94
NaMg14Ni,0.085357079,22.09676752,938.804375,141.5,0.98,1.32375,0,0.5,17.31,11.35270833
SrMg14Sn,0.010656506,24.53132849,904.8175,144.25,1.01,1.328125,0.125,0.625,18.49,11.45895833
Mg6GaNi,0.011365389,19.36532842,946.11375,136.5,0.6,1.4475,0.125,2.25,3.966666667,9.94
Mg6ZnNi,0.033087503,19.11702783,994.835,136.5,0.6,1.4275,0,2.25,4.95,9.652083333
SrMg14Zn,0.05681151,24.18238205,916.5425,143.1875,0.7,1.30875,0,0.625,19.73333333,11.38125
SrMg14Ga,0.033064408,24.09437921,892.181875,143.1875,0.86,1.31875,0.0625,0.625,17.43,11.52520833
NaMg14Cu,0.071018123,22.23174021,915.665,142,0.97,1.323125,0,0.625,17.96,11.31208333
CaMg14Cu,0.049027606,23.05377911,962.173125,142.625,0.9,1.3275,0,0.625,19.58333333,11.41354167
Mg14NiBi,0.031067146,21.98881649,949.65,140.375,0.71,1.391875,0.1875,1.125,10.36666667,9.870833333
SrCaMg14,0.04251153,25.81546437,942.9375,146.5625,0.36,1.268125,0,0,14.96666667,12.62604167
Mg14NiBi,0.031435346,22.01138879,949.65,140.375,0.71,1.391875,0.1875,1.125,10.36666667,9.870833333
NaMg14Cu,0.071857963,22.24102422,915.665,142,0.97,1.323125,0,0.625,17.96,11.31208333
Mg6AlBi,0.029713707,23.21185094,876.98375,139.375,0.71,1.43625,0.5,1.25,10.36666667,8.975
Mg6ZnBi,0.006343238,22.92791176,846.885,139.5,0.71,1.44125,0.375,2.5,10.36666667,8.852083333
NaMg6Ga,0.042987808,22.83396653,776.4725,141.75,0.88,1.325,0.125,1.25,15.99,12.10375
SrCu9Sn4,-0.136937272,16.99322879,1092.160714,138.5,1.01,1.849285714,0.571428571,9.285714286,19.4,7.795714286
Sr(ZnSn)2,-0.391499127,24.29271232,689.104,143.4,1.01,1.634,0.8,8,19.73333333,10.26066667
Sr(AlGa)2,-0.427401028,20.91853076,704.552,136.2,0.86,1.558,0.8,4,18.75,11.078
SrAlGa,-0.447384843,26.80723019,762.1266667,146,0.86,1.456666667,0.666666667,3.333333333,18.75,13.49
SrSnHg,-0.548813183,29.32827438,596.4666667,155.3333333,1.05,1.636666667,0.666666667,6.666666667,20.19,12.65666667
SrCdBi2,-0.445717194,31.89190227,683.255,158.75,1.07,1.67,1.5,7.5,25.15,8.4175
