formula_pretty,formation_energy_per_atom,volume_per_atom,mean MeltingT,mean CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range Polarizability,mean Polarizability
Ag,0,17.36423755,1234.93,145,0,1.93,0,10,0,6.99
Ag3Bi,0.146643215,22.11515323,1062.2975,145.75,0.09,1.9525,0.75,10,6.59,5.3425
Ag3Sn,0.013177481,18.85180013,1052.4675,143.5,0.03,1.9375,0.5,10,0.07,7.0075
AgSn3,0.111491118,25.60603848,687.5425,140.5,0.03,1.9525,1.5,10,0.07,7.0425
Al,0,16.47171763,933.47,121,0,1.61,1,0,0,6.8
Al2Cu,-0.212656983,15.6706404,1074.903333,124.6666667,0.29,1.706666667,0.666666667,3.333333333,0.65,6.583333333
Al2Cu2Ni,-0.282570755,12.52607149,1262.096,126,0.3,1.786,0.4,5.6,0.65,6.54
Al2CuNi,1.735505917,183.5097401,1238.1775,124.5,0.3,1.7575,0.5,4.5,0.65,6.6375
Al2Ni3,-0.528356531,11.443739,1410.188,122.8,0.3,1.79,0.4,4.8,0,6.8
Al2Sn,0.315926898,25.15054587,790.6733333,127,0.35,1.726666667,1.333333333,3.333333333,0.26,6.886666667
Al2Zn,0.024578678,15.45398333,853.2066667,121.3333333,0.04,1.623333333,0.666666667,3.333333333,0.983333333,6.472222222
Al3Ag,0.04710001,16.99822451,1008.835,127,0.32,1.69,0.75,2.5,0.19,6.8475
Al3Cu,-0.10301849,14.4999984,1039.545,123.75,0.29,1.6825,0.75,2.5,0.65,6.6375
Al3Cu2,-0.19531485,14.47984604,1103.19,125.4,0.29,1.726,0.6,4,0.65,6.54
Al3Ni,-0.418775703,14.28442108,1132.1025,121.75,0.3,1.685,0.75,2,0,6.8
Al3Ni2,-0.644216628,13.48701218,1251.282,122.2,0.3,1.73,0.6,3.2,0,6.8
Al3Sn,0.158353866,19.48015811,826.3725,125.5,0.35,1.6975,1.25,2.5,0.26,6.865
Al3Zn,0.036298491,15.62817994,873.2725,121.25,0.04,1.62,0.75,2.5,0.983333333,6.554166667
Al3ZnNi12,-0.353053207,11.35917926,1514.318125,123.3125,0.3,1.8375,0.1875,6.625,0.983333333,6.738541667
Al4Cu15,-0.108313186,12.65049907,1268.443684,129.6842105,0.29,1.838947368,0.210526316,7.894736842,0.65,6.286842105
Al4Ni15,-0.269484964,11.63332637,1560.730526,123.3684211,0.3,1.846842105,0.210526316,6.315789474,0,6.8
Al4Ni15Sn,-0.374563563,11.70447064,1507.948,124.15,0.35,1.8525,0.3,6.5,0.26,6.813
AlAg,-0.029985953,16.41847654,1084.2,133,0.32,1.77,0.5,5,0.19,6.895
AlAg2,-0.056765647,16.44219299,1134.443333,137,0.32,1.823333333,0.333333333,6.666666667,0.19,6.926666667
AlAg3,-0.07247453,16.75974236,1159.565,139,0.32,1.85,0.25,7.5,0.19,6.9425
AlAg4,0.015597754,17.55875486,1174.638,140.2,0.32,1.866,0.2,8,0.19,6.952
AlBi,0.09094328,33.52666664,738.935,134.5,0.41,1.815,2,5,6.4,3.6
AlBi3,0.231929007,29.18439778,641.6675,141.25,0.41,1.9175,2.5,7.5,6.4,2
AlCu,-0.24248409,13.6378946,1145.62,126.5,0.29,1.755,0.5,5,0.65,6.475
AlCu3,-0.20196853,12.01757628,1251.695,129.25,0.29,1.8275,0.25,7.5,0.65,6.3125
AlCu4,-0.126466133,12.16936656,1272.91,129.8,0.29,1.842,0.2,8,0.65,6.28
AlCuNi2,2.177364421,136.5843097,1436.81,125.25,0.3,1.8325,0.25,6.5,0.65,6.6375
AlCuNi6,-0.185068853,11.1254823,1582.405,124.625,0.3,1.87125,0.125,7.25,0.65,6.71875
AlNi,-0.68490115,11.69328606,1330.735,122.5,0.3,1.76,0.5,4,0,6.8
AlNi2,-0.490064432,11.1791591,1463.156667,123,0.3,1.81,0.333333333,5.333333333,0,6.8
AlNi3,-0.426419777,10.9319636,1529.3675,123.25,0.3,1.835,0.25,6,0,6.8
AlSn,0.207090318,25.23605614,719.275,130,0.35,1.785,1.5,5,0.26,6.93
AlZnCu2,-0.154224252,13.00891355,1085.4225,126.75,0.29,1.765,0.25,7.5,0.983333333,6.229166667
AlZnNi2,1.811301873,141.3078394,1270.5375,122.75,0.3,1.77,0.25,6.5,0.983333333,6.554166667
Bi,0,36.58598887,544.4,148,0,2.02,3,10,0,0.4
Cu,0,11.44599856,1357.77,132,0,1.9,0,10,0,6.15
Cu10Sn3,0.021947803,14.3233038,1160.995385,133.6153846,0.06,1.913846154,0.461538462,10,0.91,6.36
Cu19Sn16,0.016392744,18.47078118,967.9688571,135.2,0.06,1.927428571,0.914285714,10,0.91,6.566
Cu2NiSn,0.041598684,13.84380699,1237.155,131.75,0.06,1.9175,0.5,9.5,0.91,6.54
Cu3Ag,0.090374921,13.40517968,1327.06,135.25,0.03,1.9075,0,10,0.84,6.36
Cu3Ni,0.059188415,11.18037359,1450.3275,130,0.01,1.9025,0,9.5,0.65,6.3125
Cu3Sn,0.026856783,14.60059613,1144.5975,133.75,0.06,1.915,0.5,10,0.91,6.3775
Cu41Sn11,0.027442269,14.04375534,1177.393269,133.4807692,0.06,1.912692308,0.423076923,10,0.91,6.3425
Cu5Sn4,0.024354069,17.48389522,978.7966667,135.1111111,0.06,1.926666667,0.888888889,10,0.91,6.554444444
Cu6Sn5,0.023065761,17.67189612,970.1836364,135.1818182,0.06,1.927272727,0.909090909,10,0.91,6.563636364
Cu81Sn22,0.026199569,14.2669192,1175.642039,133.4951456,0.06,1.912815534,0.427184466,10,0.91,6.344368932
CuAg3,0.085707808,16.58349154,1265.64,141.75,0.03,1.9225,0,10,0.84,6.78
CuBi,0.149742647,21.28854832,951.085,140,0.12,1.96,1.5,10,5.75,3.275
CuNi,0.04142861,10.82553728,1542.885,128,0.01,1.905,0,9,0.65,6.475
CuNi2Sn,-0.135795281,13.33278221,1329.7125,129.75,0.06,1.92,0.5,9,0.91,6.7025
