formula_pretty,formation_energy_per_atom,density,spacegroup_number,volume_per_atom,mean MeltingT,mean CovalentRadius,avg_dev CovalentRadius,range Electronegativity,mean Electronegativity,mean NpValence,mean NdValence,range GSvolume_pa,d_electron_density,chem_geo_coupling,range Polarizability,mean Polarizability
LiMg14Ga,-0.005852376,1.949921736,38,22.19112126,854.9125,139,3.5,0.83,1.320625,0.0625,0.625,6.296666667,0.028096925,4.6221875,16.215,11.44927083
LiCa2Mg,-0.01866514,1.451369763,225,31.86427363,901.6725,155.25,20.75,0.33,1.0725,0,0,21.17666667,0,22.254375,14.96666667,21.64208333
Li2MgSn,-0.304543382,3.599433311,225,18.09545944,583.865,134,6,0.98,1.3075,0.5,2.5,16.69166667,0.111904806,7.845,17.275,16.62416667
LiInSn,-0.179724342,5.118051549,216,26.00652253,462.84,136.3333333,5.555555556,0.98,1.573333333,1,6.666666667,16.69166667,0.269765978,8.740740741,17.275,13.68166667
SrCdPb,-0.394929002,7.286183613,12,30.93631365,748.2766667,161.6666667,22.22222222,1.38,1.656666667,0.666666667,6.666666667,34.735,0.196396131,36.81481481,18.555,13.28833333
Ca2PbAu2,-0.701022884,9.027573224,127,25.0633742,1101.054,154,17.6,1.54,1.882,0.4,6,21.07,0.218898212,33.1232,19.93333333,14.01233333
SrHgPb,-0.463117988,8.951149514,186,30.63471188,628.31,157.6666667,24.88888889,1.38,1.76,0.666666667,6.666666667,28.99241379,0.185912333,43.80444444,20.19,12.635
CuNiAu,0.125439483,12.80230289,156,13.80100612,1474.366667,130.6666667,4.444444444,0.64,2.116666667,0,9.333333333,6.38,0.735101076,9.407407407,1,6.25
Cu3SnAu,0.104271397,10.42497324,198,16.12963607,1183.144,134.2,2.64,0.64,2.04,0.4,10,22.215,0.600997656,5.3856,1.26,6.262
CdSnAu,0.009819417,9.299273602,216,25.48070465,812.21,139.6666667,2.888888889,0.85,2.063333333,0.666666667,10,16.585,0.431778929,5.960740741,1.52,6.726666667
NiSn2Au,0.020342278,9.877627006,187,20.72305805,1018.8725,134.5,5.25,0.63,2.0925,1,9.5,22.965,0.406026285,10.985625,1.26,6.68
SrBiAu,-0.40177516,9.295843895,194,29.38902027,977.2433333,159.6666667,23.55555556,1.59,1.836666667,1,6.666666667,37.53,0.192529842,43.2637037,25.15,10.58333333
NaMg14Ni,0.084496592,1.985387472,187,22.05708368,938.804375,141.5,3.0625,0.98,1.32375,0,0.5,18.92333333,0.022220782,4.053984375,17.31,11.35270833
Mg6CuBi,0.025366178,3.888416197,38,22.33226559,930.02125,140.75,2.1875,0.71,1.4725,0.375,2.5,21.88,0.1102779,3.22109375,10.36666667,8.89375
Mg6GaNi,0.008339305,2.983210157,38,19.08166191,946.11375,136.5,6.75,0.6,1.4475,0.125,2.25,12.57,0.108096747,9.770625,3.966666667,9.94
NaMg14Ni,0.085357079,1.981821892,38,22.09676752,938.804375,141.5,3.0625,0.98,1.32375,0,0.5,18.92333333,0.022220782,4.053984375,17.31,11.35270833
SrMg14Sn,0.010656506,2.312478343,38,24.53132849,904.8175,144.25,6.34375,1.01,1.328125,0.125,0.625,31.34,0.024511306,8.425292969,18.49,11.45895833
Mg6GaNi,0.011365389,2.939511605,38,19.36532842,946.11375,136.5,6.75,0.6,1.4475,0.125,2.25,12.57,0.108096747,9.770625,3.966666667,9.94
Mg6ZnNi,0.033087503,2.930851095,38,19.11702783,994.835,136.5,6.75,0.6,1.4275,0,2.25,12.57,0.111372355,9.635625,4.95,9.652083333
SrMg14Zn,0.05681151,2.117094636,38,24.18238205,916.5425,143.1875,6.4765625,0.7,1.30875,0,0.625,40.27,0.025730091,8.476201172,19.73333333,11.38125
SrMg14Ga,0.033064408,2.143409204,38,24.09437921,892.181875,143.1875,6.4765625,0.86,1.31875,0.0625,0.625,35.3725,0.025409893,8.540966797,17.43,11.52520833
NaMg14Cu,0.071018123,1.992443144,38,22.23174021,915.665,142,3,0.97,1.323125,0,0.625,18.17333333,0.027718235,3.969375,17.96,11.31208333
CaMg14Cu,0.049027606,1.998325646,187,23.05377911,962.173125,142.625,4.171875,0.9,1.3275,0,0.625,26.7,0.027078256,5.538164063,19.58333333,11.41354167
Mg14NiBi,0.031067146,2.869397356,38,21.98881649,949.65,140.375,2.046875,0.71,1.391875,0.1875,1.125,22.63,0.049487257,2.848994141,10.36666667,9.870833333
SrCaMg14,0.04251153,1.881331512,187,25.81546437,942.9375,146.5625,9.734375,0.36,1.268125,0,0,31.34,0,12.3444043,14.96666667,12.62604167
Mg14NiBi,0.031435346,2.866454838,187,22.01138879,949.65,140.375,2.046875,0.71,1.391875,0.1875,1.125,22.63,0.049487257,2.848994141,10.36666667,9.870833333
NaMg14Cu,0.071857963,1.991611444,187,22.24102422,915.665,142,3,0.97,1.323125,0,0.625,18.17333333,0.027718235,3.969375,17.96,11.31208333
Mg6AlBi,0.029713707,3.414098853,38,23.21185094,876.98375,139.375,4.59375,0.71,1.43625,0.5,1.25,16.47,0.053541789,6.597773438,10.36666667,8.975
Mg6ZnBi,0.006343238,3.804264522,38,22.92791176,846.885,139.5,4.375,0.71,1.44125,0.375,2.5,18.99,0.108548168,6.30546875,10.36666667,8.852083333
NaMg6Ga,0.042987808,2.16842301,38,22.83396653,776.4725,141.75,6.0625,0.88,1.325,0.125,1.25,10.38583333,0.053925556,8.0328125,15.99,12.10375
SrCu9Sn4,-0.136937272,7.917743367,140,16.99322879,1092.160714,138.5,8.357142857,1.01,1.849285714,0.571428571,9.285714286,43.16,0.452961672,15.4547449,19.4,7.795714286
Sr(ZnSn)2,-0.391499127,6.232074937,11,24.29271232,689.104,143.4,20.64,1.01,1.634,0.8,8,40.27,0.268961807,33.72576,19.73333333,10.26066667
Sr(AlGa)2,-0.427401028,4.461687744,139,20.91853076,704.552,136.2,23.52,0.86,1.558,0.8,4,37.75,0.160121692,36.64416,18.75,11.078
SrAlGa,-0.447384843,3.805914736,187,26.80723019,762.1266667,146,32.66666667,0.86,1.456666667,0.666666667,3.333333333,37.75,0.11164764,47.58444444,18.75,13.49
SrSnHg,-0.548813183,7.679808094,186,29.32827438,596.4666667,155.3333333,26.44444444,1.05,1.636666667,0.666666667,6.666666667,28.99241379,0.177379523,43.28074074,20.19,12.65666667
SrCdBi2,-0.445717194,8.044358078,139,31.89190227,683.255,158.75,18.125,1.07,1.67,1.5,7.5,34.735,0.214861235,30.26875,25.15,8.4175
Sr(BiPd)2,-0.599146192,9.308565552,11,25.63157122,1158.98,153.8,16.48,1.25,1.878,1.2,8,39.82,0.268546492,30.94944,25.15,7.19
Na2SrSn4,-0.411834036,4.756496633,15,30.34459127,544.58,154.7142857,17.95918367,1.03,1.521428571,1.142857143,5.714285714,24.98666667,0.162696422,27.32361516,18.49,14.57285714
SrHg2Pb,-0.403781776,10.22532792,225,28.2566779,529.8125,151.25,21.875,1.38,1.82,0.5,7.5,28.99241379,0.225877808,39.8125,20.19,10.81625
SrGaSn,-0.622364493,5.357300722,194,28.52162652,619.33,152,28.66666667,1.01,1.573333333,1,6.666666667,35.3725,0.18801852,45.10222222,18.49,13.57666667
Mg6AlNi,0.034212498,2.499259534,38,19.22684446,1024.93375,136.375,6.9375,0.6,1.4225,0.125,1,12.57,0.048738881,9.86859375,3.966666667,9.775
SrMg6Sn,-0.005604217,2.782235856,38,26.27272938,886.635,147.5,11.875,1.01,1.34625,0.25,1.25,31.34,0.044473105,15.98671875,18.49,12.15125
Na(GaAu2)2,-0.281743709,11.71154771,14,19.24856816,903.7157143,136.2857143,8.489795918,1.61,2.101428571,0.285714286,8.571428571,12.54333333,0.448570183,17.84069971,18.31,9.078571429
Sr4Sn9Au7,-0.519045986,8.705330184,115,26.68241035,905.3515,149.15,18.34,1.59,1.961,0.9,8,37.53,0.252610971,35.96474,19.75,10.317
Zn2CuAu,-0.14467875,11.44422744,225,14.19535965,1020.115,128,6,0.89,1.935,0,10,5.63,0.718261806,11.61,0.35,5.895833333
Mg17Al11Au,-0.050480548,2.60583179,8,19.92908435,941.2586207,133.2413793,9.286563615,1.23,1.466206897,0.379310345,0.344827586,6.41,0.017032583,13.61602362,4.966666667,9.090804598
MgAgAu2,-0.336101517,12.49531649,225,17.47895157,1208.1475,139.5,3.5,1.23,2.08,0,7.5,6.56,0.413109336,7.28,4.966666667,7.339166667
BiPb3Au,-0.041301747,11.44538774,136,29.81606081,736.712,144.4,3.36,0.52,2.31,1.8,10,16.25,0.373190028,7.7616,6.595,5.437
